datetime,low,high,open,close,volume,macd,macds,macdh,close_-1_s,close_-1_d,rs_14,rsi_14,average
2014-11-30,373.32,381.99,376.57,373.34,3046.33,70.53551028254799,26.465548012488465,44.06996227005952,376.72,-3.3800000000000523,96.11067503924498,98.97024709220086,377.655
2014-12-01,373.03,382.31,376.4,378.39,6660.56,83.69535263620223,37.911508937231226,45.783843698971005,373.34,5.050000000000011,97.71968732873061,98.98703082732621,377.66999999999996
2014-12-02,375.23,382.86,378.39,379.25,6832.53,93.12058122955985,48.953323395696955,44.16725783386289,378.39,0.8600000000000136,98.01477503574368,98.99004971769213,379.045
2014-12-03,374.23,383.0,379.25,376.67,7908.29,99.23800441526532,59.01025959961064,40.22774481565468,379.25,-2.579999999999984,50.177520157826635,98.04601708539981,378.615
2014-12-04,360.01,378.99,376.67,365.2,8865.09,101.98495415632829,67.60519851095418,34.379755645374104,376.67,-11.470000000000027,15.038064224310887,93.76483354840184,369.5
2014-12-05,363.99,377.89,365.2,374.95,8951.16,103.75267883209503,74.83469457518235,28.917984256912675,365.2,9.75,15.679143474190568,94.00448829073622,370.94
2014-12-06,371.31,376.99,374.95,375.07,2300.21,103.96485424607778,80.66072650936144,23.30412773671634,374.95,0.12000000000000455,15.68764061927773,94.00754113289814,374.15
2014-12-07,373.16,377.5,375.07,376.87,2429.62,103.08989362378983,85.14655993224713,17.943333691542705,375.07,1.8000000000000114,15.824902193762666,94.05642904497407,375.33000000000004
2014-12-08,364.6,377.45,376.87,364.61,9920.84,100.25156386593434,88.16756071898459,12.084003146949755,376.87,-12.259999999999991,7.885563239562866,88.74578939973651,371.025
2014-12-09,343.97,365.48,364.61,350.49,20940.84,95.75895150645349,89.68583887647839,6.0731126299751,364.61,-14.120000000000005,4.860849007278258,82.93762561092845,354.725
2014-12-10,347.23,353.74,350.49,348.13,6579.79,90.959566307463,89.94058436267531,1.018981944787697,350.49,-2.3600000000000136,4.546920346918458,81.9719783689423,350.485
2014-12-11,339.8,364.43,348.13,348.98,16533.38,86.23059424174255,89.19858633848877,-2.9679920967462152,348.13,0.8500000000000227,4.571970503340301,82.05302775022737,352.115
2014-12-12,348.0,358.59,348.98,354.48,8039.95,81.98162075070508,87.75519322093204,-5.773572470226966,348.98,5.5,4.746528154424638,82.59818845175181,353.29499999999996
2014-12-13,347.03,354.95,354.48,351.45,3880.75,77.47668002999853,85.69949058274536,-8.222810552746822,354.48,-3.0300000000000296,4.301094993057893,81.13597282618854,350.99
2014-12-14,348.96,351.98,351.45,350.17,561.33,72.96213467868154,83.15201940193259,-10.189884723251055,351.45,-1.2799999999999727,4.124986212234612,80.4877523843332,350.47
2014-12-15,350.17,350.17,350.17,350.17,0.0,68.59362040413055,80.24033960237219,-11.646719198241641,350.17,0.0,4.124986212234611,80.4877523843332,350.17
2014-12-16,330.0,350.17,350.17,330.02,5677.83,62.78189417484583,76.74865051686692,-13.966756342021085,350.17,-20.150000000000034,2.3604484801935053,70.24206721531357,340.08500000000004
2014-12-17,315.23,335.99,331.56,321.1,23478.02,56.80151728168698,72.75922386983093,-15.95770658814395,330.02,-8.919999999999959,1.96061798278541,66.22326805367913,325.61
2014-12-18,304.99,325.61,321.32,312.17,21637.58,50.756361399905245,68.3586513758458,-17.60228997594055,321.1,-8.930000000000007,1.6578570941386042,62.37570476586914,315.3
2014-12-19,307.11,320.0,310.48,318.0,15958.56,45.90677931085918,63.86827696284847,-17.96149765198929,312.17,5.829999999999984,1.7664267769069804,63.85228742189751,313.555
2014-12-20,316.52,333.0,317.23,329.99,11146.4,42.54056223952921,59.60273401818463,-17.06217177865542,318.0,11.990000000000009,2.006887351514444,66.74301750957376,324.76
2014-12-21,318.78,332.98,332.58,323.15,6510.0,38.87277892491113,55.45674299952993,-16.583964074618798,329.99,-6.840000000000032,1.7485726293943045,63.617479512616434,325.88
2014-12-22,319.9,333.99,322.24,330.52,11646.6,36.14408511470009,51.594211422563966,-15.450126307863876,323.15,7.3700000000000045,1.8979284775020508,65.49259211317812,326.945
2014-12-23,327.49,338.99,330.52,335.49,7804.03,33.99078842417748,48.07352682288668,-14.082738398709196,330.52,4.970000000000027,2.0063950249536426,66.7375713537372,333.24
2014-12-24,320.92,337.0,337.0,322.14,5544.8,30.851415935976434,44.62910464550463,-13.7776887095282,335.49,-13.350000000000023,1.5272092453355874,60.43066074383523,328.96000000000004
2014-12-25,316.63,324.23,320.92,319.39,3924.9,27.82083730931413,41.26745117826653,-13.446613868952404,322.14,-2.75,1.4503667556990918,59.18978260400455,320.43
2014-12-26,316.64,332.0,319.0,330.88,6347.26,26.045986962444033,38.223158335102035,-12.177171372658002,319.39,11.490000000000009,1.6767659624981646,62.641485508627625,324.32
2014-12-27,311.63,330.97,330.97,315.89,8639.54,23.16283085694687,35.211092839471,-12.048261982524131,330.88,-14.990000000000009,1.272124200545743,55.988321423634794,321.3
2014-12-28,311.22,319.56,315.89,316.63,4089.61,20.69901532289674,32.30867733615615,-11.60966201325941,315.89,0.7400000000000091,1.284953797819062,56.23543894172049,315.39
2014-12-29,311.61,320.14,316.63,314.78,5901.06,18.385210954991692,29.523984059923258,-11.138773104931566,316.63,-1.8500000000000227,1.2420518087825456,55.397997669687705,315.875
2014-12-30,310.0,316.77,314.78,311.94,9894.24,16.13633048501157,26.846453344940922,-10.710122859929353,314.78,-2.839999999999975,1.177079683359996,54.06690863714047,313.385
2014-12-31,310.69,320.0,311.94,319.25,6097.71,14.773631193665153,24.431888914685768,-9.658257721020615,311.94,7.310000000000002,1.3220807118413027,56.93517478093834,315.345
2015-01-01,312.6,321.0,319.25,316.31,3223.06,13.303098914839325,22.206130914716482,-8.903031999877157,319.25,-2.9399999999999977,1.243955608979058,55.43583857013222,316.8
2015-01-02,311.96,317.01,316.31,316.51,3472.05,12.015324634670208,20.16796965870723,-8.152645024037021,316.31,0.19999999999998863,1.2482847325400297,55.52164787997129,314.485
2015-01-03,285.0,316.58,316.51,286.01,20350.46,8.436409462787253,17.821657619523233,-9.38524815673598,316.51,-30.5,0.7295749611359136,42.18232672938088,300.78999999999996
2015-01-04,255.0,289.81,286.01,264.62,42650.57,3.82994989027668,15.023316073673922,-11.193366183397242,286.01,-21.389999999999986,0.5553002816102514,35.70373439624994,272.405
2015-01-05,262.94,280.0,264.62,276.8,9752.08,1.1488781464439057,12.248428488227919,-11.099550341784013,264.62,12.180000000000007,0.7017827194788528,41.23809176378075,271.47
2015-01-06,276.8,276.8,276.8,276.8,0.0,-0.9647692670537253,9.60578893717159,-10.570558204225316,276.8,0.0,0.7017827194788528,41.23809176378075,276.8
2015-01-07,276.8,276.8,276.8,276.8,0.0,-2.6097663087683713,7.162677887983598,-9.77244419675197,276.8,0.0,0.7017827194788528,41.23809176378075,276.8
2015-01-08,276.8,276.8,276.8,276.8,0.0,-3.8688407282410253,4.956374164738673,-8.825214892979698,276.8,0.0,0.701782719478853,41.23809176378076,276.8
2015-01-09,276.8,276.8,276.8,276.8,0.0,-4.8112056924595095,3.002858193299036,-7.814063885758546,276.8,0.0,0.701782719478853,41.23809176378076,276.8
2015-01-10,276.8,276.8,276.8,276.8,0.0,-5.494697266217656,1.3033471013956974,-6.798044367613354,276.8,0.0,0.7017827194788528,41.23809176378075,276.8
2015-01-11,276.8,276.8,276.8,276.8,0.0,-5.967578729800721,-0.15083806484358664,-5.816740664957134,276.8,0.0,0.7017827194788527,41.23809176378074,276.8
